Type,Code,Name (Khmer),Name (Latin),Reference,Official Note,Note (by Checker)
?????,601,???????,Baray,????????? ??????.?,,
???,60101,????????,Bak Sna,????????? ??? ???.?,,
????,6010101,?????????????,Bak Sna Kraom,????????? ??? ???.?,,
????,6010102,??????????,Bak Sna Leu,????????? ??? ???.?,,
????,6010103,??????,Andaot,????????? ??? ???.?,,
????,6010104,???,Daom,????????? ??? ???.?,,
????,6010105,??????????,Trapeang Touk,????????? ??? ???.?,???????Trapeang Tuk ?? Trapeang Touk,
????,6010106,????????,Ou Chamres,????????? ???? ???.?,????????,
????,6010107,????????,Kampong Pon,????????? ???? ???.?,????????,
???,60102,????????,Ballangk,??? ??? ???.?,,
????,6010201,?????,Tras,????????? ??? ???.?,,
????,6010202,????????,Sralau Toung,????????? ??? ???.?,,
????,6010203,??????,Yeay Tieng,????????? ??? ???.?,,
????,6010204,????????,Ballangk,????????? ??? ???.?,,
????,6010205,?????,Ta Duk,????????? ??? ???.?,,
????,6010206,??????????,Prey Srangae,????????? ??? ???.?,?????????????????????? ??????????,
????,6010207,???????????,Trapeang Chrey,????????? ??? ???.?,??????????????,
????,6010208,?????,Ta Phouk,????????? ??? ???.?,,
????,6010209,???????????,Prey Ta Trav,????????? ??? ???.?,,
????,6010210,???,Doung,????????? ??? ???.?,,
????,6010211,????????,Chey Mongkol,????????? ??? ???.?,,
????,6010212,????????????,Trapeang Svay,????????? ??? ???.?,,
????,6010213,??????,Doun Duong,????????? ??? ???.?,??????????????,
????,6010214,??????????????,Baray Chorn Daek,????????? ???? ???.?,???????????????????,
????,6010215,??????????,Boeung Samrith,????????? ???? ???.?,?????????????????,
???,60103,???????,Baray,??? ??? ???.?,,
????,6010301,??????????,Krasang Chey,????????? ??? ???.?,,
????,6010302,??????????,Baray Touch,????????? ??? ???.?,,
????,6010303,?????????,Baray Thum,????????? ??? ???.?,,
????,6010304,?????????,Thnal Thmei,????????? ??? ???.?,,
????,6010305,?????????,Thnal Cheat,????????? ??? ???.?,,
????,6010306,?????,Svay,????????? ??? ???.?,,
????,6010307,?????,Chi Aok,????????? ??? ???.?,,
????,6010308,?????,Samraong,????????? ??? ???.?,,
????,6010309,?????????,Ou Suosdei,????????? ??? ???.?,,
????,6010310,??????,Chakto Louk,????????? ??? ???.?,,
????,6010311,????????,Pou Pir,????????? ??? ???.?,,
